scope,position,digit,count,proportion,chi2,p_value,q_value,reject_fdr_05
pooled,1,0,19134,0.09991071008975985,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,1,19038,0.09940943340069239,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,2,19537,0.10201502785740767,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,3,19107,0.09976972602095963,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,4,19303,0.10079316592780571,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,5,18936,0.0988768269185582,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,6,19223,0.10037543535358283,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,7,18945,0.09892382160815828,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,8,19094,0.09970184480264842,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,1,9,19194,0.10022400802042702,14.935794810741942,0.09271474816852421,0.4547928744021153,False
pooled,2,0,19068,0.09956608236602597,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,1,19312,0.10084016061740579,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,2,19133,0.09990548845758207,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,3,19135,0.09991593172193765,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,4,19133,0.09990548845758207,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,5,19048,0.09946164972247025,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,6,19247,0.1005007545258497,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,7,19287,0.10070961981296113,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,8,19005,0.09923711953882544,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,2,9,19143,0.09995770477935993,4.877782477246738,0.8448294230317286,0.9618173720989114,False
pooled,3,0,15831,0.09703994752940744,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,1,16480,0.1010181501664225,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,2,16348,0.10020902420635164,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,3,16334,0.10012320781664716,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,4,16378,0.1003929164700041,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,5,16293,0.09987188838965545,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,6,16297,0.09989640735814244,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,7,16317,0.10001900220057743,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,8,16476,0.1009936311979355,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,3,9,16385,0.10043582466485634,18.29856134952402,0.03186351572160082,0.2822613967413475,False
pooled,4,0,13995,0.09865360214295785,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,1,14474,0.10203017059072325,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,2,13971,0.09848442126039758,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,3,14083,0.09927393204567884,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,4,14318,0.1009304948540815,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,5,14290,0.10073311715776118,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,6,14178,0.09994360637247991,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,7,14359,0.10121951219512196,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,8,14062,0.0991258987734386,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,4,9,14130,0.09960524460735937,17.834766671366136,0.03713965746596677,0.2822613967413475,False
pooled,5,0,7166,0.10102918370224165,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,1,7078,0.09978852389679967,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,2,7058,0.09950655575919921,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,3,7181,0.10124065980544199,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,4,6973,0.09830819117439729,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,5,7021,0.09898491470463838,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,6,7057,0.0994924573523192,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,7,7191,0.10138164387424221,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,8,7025,0.09904130833215846,8.064288735372902,0.527680686142401,0.9618173720989114,False
pooled,5,9,7180,0.10122656139856197,8.064288735372902,0.527680686142401,0.9618173720989114,False
Đặc biệt,1,0,701,0.09882983222895812,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,1,683,0.09629211899055407,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,2,699,0.09854786409135767,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,3,672,0.09474129423375159,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,4,715,0.10080360919216129,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,5,728,0.10263640208656422,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,6,743,0.10475116311856761,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,7,702,0.09897081629775835,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,8,716,0.10094459326096152,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,1,9,734,0.10348230649936557,6.3218666290709145,0.7073221902933906,0.9618173720989114,False
Đặc biệt,2,0,727,0.10249541801776399,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,1,717,0.10108557732976174,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,2,662,0.09333145354574933,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,3,748,0.10545608346256873,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,4,675,0.09516424644015226,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,5,697,0.09826589595375723,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,6,744,0.10489214718736782,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,7,706,0.09953475257295925,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,8,692,0.0975609756097561,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,2,9,725,0.10221344988016354,10.145354574933034,0.338846677370583,0.7335219637933751,False
Đặc biệt,3,0,681,0.09601015085295361,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,1,752,0.10602001973776963,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,2,691,0.09741999154095587,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,3,716,0.10094459326096152,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,4,721,0.10164951360496263,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,5,700,0.0986888481601579,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,6,714,0.10066262512336106,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,7,696,0.098124911884957,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,8,693,0.09770195967855633,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,3,9,729,0.10277738615536444,5.752290991118003,0.7644312257426037,0.9618173720989114,False
Đặc biệt,4,0,679,0.09572818271535316,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,1,724,0.10207246581136331,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,2,719,0.1013675454673622,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,3,701,0.09882983222895812,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,4,699,0.09854786409135767,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,5,748,0.10545608346256873,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,6,720,0.10150852953616242,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,7,687,0.09685605526575497,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,8,711,0.10023967291696038,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,4,9,705,0.09939376850415903,4.982517975468772,0.8358295403110335,0.9618173720989114,False
Đặc biệt,5,0,666,0.09389538982095023,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,1,689,0.09713802340335542,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,2,700,0.0986888481601579,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,3,687,0.09685605526575497,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,4,712,0.10038065698576061,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,5,723,0.10193148174256308,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,6,749,0.10559706753136895,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,7,709,0.09995770477935993,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,8,727,0.10249541801776399,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Đặc biệt,5,9,731,0.1030593542929649,7.64993655716904,0.5697721045206403,0.9618173720989114,False
Giải nhất,1,0,719,0.1013675454673622,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,1,672,0.09474129423375159,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,2,701,0.09882983222895812,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,3,706,0.09953475257295925,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,4,718,0.10122656139856197,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,5,711,0.10023967291696038,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,6,718,0.10122656139856197,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,7,699,0.09854786409135767,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,8,731,0.1030593542929649,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,1,9,718,0.10122656139856197,3.344283096010151,0.9490690511286144,0.9840038836072298,False
Giải nhất,2,0,749,0.10559706753136895,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,1,719,0.1013675454673622,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,2,697,0.09826589595375723,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,3,678,0.09558719864655293,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,4,728,0.10263640208656422,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,5,692,0.0975609756097561,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,6,691,0.09741999154095587,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,7,776,0.10940363738897504,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,8,710,0.10009868884816016,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,2,9,653,0.0920625969265473,16.077964190046526,0.06527123407763617,0.41338448249169574,False
Giải nhất,3,0,671,0.09460031016495137,14.828845340476526,0.09574586829518217,0.4547928744021153,False
