model,fold,bin,mean_predicted,observed_rate,n
xgboost,validation_2023_2024,6,0.6669430136680603,0.7142857142857143,7
xgboost,validation_2023_2024,7,0.7140804529190063,0.5,2
xgboost,validation_2023_2024,8,0.8511432409286499,0.9090909090909091,11
xgboost,validation_2023_2024,9,0.9412623047828674,0.9333333333333333,30
xgboost,validation_2023_2024,4,0.49327564239501953,1.0,1
xgboost,validation_2023_2024,6,0.6674288511276245,0.6,5
xgboost,validation_2023_2024,7,0.749579668045044,0.75,4
xgboost,validation_2023_2024,8,0.8611373901367188,0.875,8
xgboost,validation_2023_2024,9,0.936847984790802,0.875,32
xgboost,validation_2023_2024,5,0.5634655952453613,0.25,4
xgboost,validation_2023_2024,6,0.6713618040084839,0.8,5
xgboost,validation_2023_2024,7,0.7559614777565002,1.0,1
xgboost,validation_2023_2024,8,0.8696581125259399,0.8,10
xgboost,validation_2023_2024,9,0.9457315802574158,0.9,30
xgboost,validation_2023_2024,5,0.5742549896240234,1.0,2
xgboost,validation_2023_2024,6,0.665977954864502,0.5714285714285714,7
xgboost,validation_2023_2024,7,0.7131010890007019,1.0,1
xgboost,validation_2023_2024,8,0.8656968474388123,1.0,11
xgboost,validation_2023_2024,9,0.9435098171234131,0.8620689655172413,29
xgboost,validation_2023_2024,6,0.6591495871543884,0.75,8
xgboost,validation_2023_2024,7,0.706946611404419,0.5,2
xgboost,validation_2023_2024,8,0.8741950392723083,0.9230769230769231,13
xgboost,validation_2023_2024,9,0.93889319896698,0.9259259259259259,27
xgboost,validation_2023_2024,5,0.5865463018417358,1.0,1
xgboost,validation_2023_2024,6,0.6548705101013184,0.42857142857142855,7
xgboost,validation_2023_2024,7,0.7668303847312927,1.0,3
xgboost,validation_2023_2024,8,0.8636588454246521,1.0,12
xgboost,validation_2023_2024,9,0.9468376636505127,0.9259259259259259,27
xgboost,validation_2023_2024,5,0.5717305541038513,0.5,2
xgboost,validation_2023_2024,6,0.6471162438392639,0.5,6
xgboost,validation_2023_2024,7,0.7358453273773193,0.5,2
xgboost,validation_2023_2024,8,0.8728727698326111,0.9375,16
xgboost,validation_2023_2024,9,0.9408025741577148,1.0,24
xgboost,validation_2023_2024,4,0.4837850332260132,0.0,1
xgboost,validation_2023_2024,5,0.5590035915374756,0.0,3
xgboost,validation_2023_2024,6,0.6598222851753235,1.0,3
xgboost,validation_2023_2024,7,0.7316532135009766,0.6666666666666666,3
xgboost,validation_2023_2024,8,0.8811995387077332,1.0,10
xgboost,validation_2023_2024,9,0.9333550930023193,0.9666666666666667,30
xgboost,validation_2023_2024,5,0.5616130828857422,0.5,4
xgboost,validation_2023_2024,6,0.6494001150131226,0.75,4
xgboost,validation_2023_2024,7,0.7368245124816895,0.0,2
xgboost,validation_2023_2024,8,0.8809243440628052,0.8461538461538461,13
xgboost,validation_2023_2024,9,0.9367443919181824,0.9629629629629629,27
xgboost,validation_2023_2024,5,0.5680150389671326,1.0,3
xgboost,validation_2023_2024,6,0.6432458162307739,0.8,5
xgboost,validation_2023_2024,7,0.7129760384559631,1.0,3
xgboost,validation_2023_2024,8,0.8713333010673523,1.0,8
xgboost,validation_2023_2024,9,0.9322938323020935,0.9354838709677419,31
xgboost,validation_2023_2024,5,0.5368281602859497,0.0,2
xgboost,validation_2023_2024,6,0.6719874739646912,0.8571428571428571,7
xgboost,validation_2023_2024,7,0.7098148465156555,1.0,1
