model,fold,n_days,brier_score,log_loss,hit_any_top1,recall_top1,hit_any_top3,recall_top3,hit_any_top5,recall_top5,hit_any_top10,recall_top10,brier_ten_thousands,brier_thousands,brier_hundreds,brier_tens,brier_units
xgboost,validation_2023_2024,723,0.10802316543873153,0.3645304383270515,0.861134163208852,0.09972210782452211,0.9928077455048409,0.29977611092883455,1.0,0.4989711413576176,1.0,1.0,0.23103386727156686,0.10779348262306754,0.08033419835938031,0.06237959040896702,0.05857468853067594
catboost,validation_2023_2024,723,0.10676331415860897,0.35897370595193606,0.8655601659751039,0.10024020547576651,0.9961272475795298,0.2999744601781243,1.0,0.50111787871845,1.0,1.0,0.22788179054927404,0.10666851813613708,0.07936485001955615,0.06192347288051602,0.05797793920756158
