model,fold,n_days,brier_score,log_loss,hit_any_top1,recall_top1,hit_any_top3,recall_top3,hit_any_top5,recall_top5,hit_any_top10,recall_top10
xgboost,validation_2023_2024,723,0.09922053828855078,0.33665972970894686,0.9737206085753803,0.111416484037602,1.0,0.309725192194708,1.0,0.5056236626700304,1.0,1.0
catboost,validation_2023_2024,723,0.09831305367604555,0.3324138435309282,0.9745504840940525,0.11150186628605316,1.0,0.3088650464850453,1.0,0.5053630066293657,1.0,1.0
xgboost,final_test_2025_2026,606,0.097204826885076,0.3300352199755389,0.971947194719472,0.11100171943423336,0.9996699669966996,0.30926382562505206,1.0,0.5073707436133666,1.0,1.0
catboost,final_test_2025_2026,606,0.09650878973866442,0.3263120372680506,0.973927392739274,0.11121289522105446,0.9996699669966996,0.30927899194777614,1.0,0.5085473773925843,1.0,1.0

